0:   [+465.0,  -30.0],
1:   [+465.0, -150.0],
2:   [+465.0, -270.0],
3:   [+465.0, -390.0],
4:   [+435.0,  -90.0],
5:   [+435.0, -210.0],
6:   [+435.0, -330.0],
7:   [+435.0, -450.0],
8:   [+405.0,  -30.0],
9:   [+405.0, -150.0],
10:  [+405.0, -270.0],
11:  [+405.0, -390.0],
12:  [+375.0,  -90.0],
13:  [+375.0, -210.0],
14:  [+375.0, -330.0],
15:  [+375.0, -450.0],
16:  [+345.0,  -30.0],
17:  [+345.0, -150.0],
18:  [+345.0, -270.0],
19:  [+345.0, -390.0],
20:  [+315.0,  -90.0],
21:  [+315.0, -210.0],
22:  [+315.0, -330.0],
23:  [+315.0, -450.0],
24:  [+285.0,  -30.0],
25:  [+285.0, -150.0],
26:  [+285.0, -270.0],
27:  [+285.0, -390.0],
28:  [+255.0,  -90.0],
29:  [+255.0, -210.0],
30:  [+255.0, -330.0],
31:  [+255.0, -450.0],
32:  [+225.0,  -30.0],
33:  [+225.0, -150.0],
34:  [+225.0, -270.0],
35:  [+225.0, -390.0],
36:  [+195.0,  -90.0],
37:  [+195.0, -210.0],
38:  [+195.0, -330.0],
39:  [+195.0, -450.0],
40:  [+165.0,  -30.0],
41:  [+165.0, -150.0],
42:  [+165.0, -270.0],
43:  [+165.0, -390.0],
44:  [+135.0,  -90.0],
45:  [+135.0, -210.0],
46:  [+135.0, -330.0],
47:  [+135.0, -450.0],
48:  [+105.0,  -30.0],
49:  [+105.0, -150.0],
50:  [+105.0, -270.0],
51:  [+105.0, -390.0],
52:  [ +75.0,  -90.0],
53:  [ +75.0, -210.0],
54:  [ +75.0, -330.0],
55:  [ +75.0, -450.0],
56:  [ +45.0,  -30.0],
57:  [ +45.0, -150.0],
58:  [ +45.0, -270.0],
59:  [ +45.0, -390.0],
60:  [ +15.0,  -90.0],
61:  [ +15.0, -210.0],
62:  [ +15.0, -330.0],
63:  [ +15.0, -450.0],
64:  [ -15.0,  -30.0],
65:  [ -15.0, -150.0],
66:  [ -15.0, -270.0],
67:  [ -15.0, -390.0],
68:  [ -45.0,  -90.0],
69:  [ -45.0, -210.0],
70:  [ -45.0, -330.0],
71:  [ -45.0, -450.0],
72:  [ -75.0,  -30.0],
73:  [ -75.0, -150.0],
74:  [ -75.0, -270.0],
75:  [ -75.0, -390.0],
76:  [-105.0,  -90.0],
77:  [-105.0, -210.0],
78:  [-105.0, -330.0],
79:  [-105.0, -450.0],
80:  [-135.0,  -30.0],
81:  [-135.0, -150.0],
82:  [-135.0, -270.0],
83:  [-135.0, -390.0],
84:  [-165.0,  -90.0],
85:  [-165.0, -210.0],
86:  [-165.0, -330.0],
87:  [-165.0, -450.0],
88:  [-195.0,  -30.0],
89:  [-195.0, -150.0],
90:  [-195.0, -270.0],
91:  [-195.0, -390.0],
92:  [-225.0,  -90.0],
93:  [-225.0, -210.0],
94:  [-225.0, -330.0],
95:  [-225.0, -450.0],
96:  [-255.0,  -30.0],
97:  [-255.0, -150.0],
98:  [-255.0, -270.0],
99:  [-255.0, -390.0],
100: [-285.0,  -90.0],
101: [-285.0, -210.0],
102: [-285.0, -330.0],
103: [-285.0, -450.0],
104: [-315.0,  -30.0],
105: [-315.0, -150.0],
106: [-315.0, -270.0],
107: [-315.0, -390.0],
108: [-345.0,  -90.0],
109: [-345.0, -210.0],
110: [-345.0, -330.0],
111: [-345.0, -450.0],
112: [-375.0,  -30.0],
113: [-375.0, -150.0],
114: [-375.0, -270.0],
115: [-375.0, -390.0],
116: [-405.0,  -90.0],
117: [-405.0, -210.0],
118: [-405.0, -330.0],
119: [-405.0, -450.0],
120: [-435.0,  -30.0],
121: [-435.0, -150.0],
122: [-435.0, -270.0],
123: [-435.0, -390.0],
124: [-465.0,  -90.0],
125: [-465.0, -210.0],
126: [-465.0, -330.0],
127: [-465.0, -450.0],
128: [-945.0, -450.0],
129: [-885.0, -450.0],
130: [-825.0, -450.0],
131: [-765.0, -450.0],
132: [-705.0, -450.0],
133: [-645.0, -450.0],
134: [-585.0, -450.0],
135: [-525.0, -450.0],
